,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
773,Portugal,"Powerful and concentrated, this is just at its peak. Ripe, rich fruit and tarry tannins give it freshness and a dry core. It's solid and serious, a dense wine that calls for equally rich food. Drink it now while it's at its prime.",Grande Reserva,92,32,Alentejo,,,Roger Voss,@vossroger,Monte da Penha 2005 Grande Reserva Red (Alentejo),Portuguese Red,Monte da Penha
774,US,"The Lorna Marie is the winery's reserve, and it has exceptional concentration and depth. Berry and cherry dominate, spiced up with a pumpkin pie accent. Round, rich and full, yet moderate in alcohol, this is a fine expression of Oregon Pinot Noir in a challenging vintage.",Lorna Marie,92,70,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Patton Valley 2010 Lorna Marie Pinot Noir (Willamette Valley),Pinot Noir,Patton Valley
775,US,"All the 2010 Patton Valley Pinots are significantly lower in alcohol than the previous vintage, and it works to their advantage. Nuanced fruit flavors include rhubarb and tart cherry, with veins of cola and dark chocolate adding further complexity. Its length is excellent.",West Block,92,48,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Patton Valley 2010 West Block Pinot Noir (Willamette Valley),Pinot Noir,Patton Valley
776,France,"The extra age on this bone-dry wine has paid off, as the taut character of a young wine has been tempered with toast, creating a round feeling. It is perfectly in harmony now, beautiful and crisp.",Oenophile Premier Cru Blanc de Blancs Extra Brut,92,72,Champagne,Champagne,,Roger Voss,@vossroger,Pierre Gimonnet et Fils 2005 Oenophile Premier Cru Blanc de Blancs Extra Brut Chardonnay (Champagne),Chardonnay,Pierre Gimonnet et Fils
777,Italy,"Verduzzo is a very interesting grape that tends to exude oxidized aromas of candied fruit, butterscotch and carmel. But when made well, as in the case of this selection, it offers power, concentration and natural richness as well.",Cràtis,92,18,Northeastern Italy,Colli Orientali del Friuli,,,,Scubla 2008 Cràtis Verduzzo (Colli Orientali del Friuli),Verduzzo,Scubla
778,US,"The Winderlea is perhaps the most unique in terms of style and flavor among all the 2010 Adelsheim single-vineyard Pinots. Its distinctive minerality accompanies tart cranberry and cherry notes, citrusy acidity with a splash of grapefruit flavor, and a finish that tastes of coffee and tea. Complex and long, this is a wine that will surely spark some heated discussion.",Winderlea Vineyard,92,105,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Adelsheim 2010 Winderlea Vineyard Pinot Noir (Dundee Hills),Pinot Noir,Adelsheim
779,France,"This is a powerful, almost concentrated, very dry selection. Its richness comes from the weight of its fruit flavors and the tight tang of its intense acidity. From a fine vintage, it could still age for several more years. Disgorged July 2011.",Assemblage Brut,92,101,Champagne,Champagne,,Roger Voss,@vossroger,Bruno Paillard 2002 Assemblage Brut  (Champagne),Champagne Blend,Bruno Paillard
780,Italy,"Thanks to eight years in Vin Santo's traditional caratelli barrels, this sweet blend of Trebbiano and Malvasia offers a dark, golden-amber color, bearing intense aromas of dried apricot, candied fruit, honey and toasted almond.",,92,50,Tuscany,Vin Santo del Chianti Classico,,,,Castello d'Albola 2003  Vin Santo del Chianti Classico,White Blend,Castello d'Albola
781,Italy,"A landmark wine for those who love Italian sparklers, this shows loads of ripe apricot, melon and honey notes, with toasted nut and baked bread hints in the background. There are also touches of caramel and butterscotch that help move the wine's thick and opulent texture across the palate. It ends with refreshing acidity and tonic perlage.",Giulio Ferrari Riserva del Fondatore,92,85,Northeastern Italy,Trento,,,,Ferrari 2001 Giulio Ferrari Riserva del Fondatore Chardonnay (Trento),Chardonnay,Ferrari
782,US,"There's a honeyed accent to this sparkler, with tangerine, lime, buttered toast and yeasty flavors that are savory and complex. The mouthfeel is wonderfully soft and creamy. A great success for Laetitia, at a good price.",Cuvée M,92,35,California,Arroyo Grande Valley,Central Coast,,,Laetitia 2008 Cuvée M Sparkling (Arroyo Grande Valley),Sparkling Blend,Laetitia
783,US,"This is dry, rich, heady, spicy and utterly delicious. As usual, it contains a splash of Petite Sirah. Already throwing some sediment, it's pretty tannic, with complex flavors of wild blackberry and blueberry, black currant, licorice, cola, bacon and plum sauce, with a hint of exotic pepper and spice. This great Zinfandel is a joy to drink.",Big River Ranch,92,38,California,Alexander Valley,Sonoma,,,Bella 2009 Big River Ranch Zinfandel (Alexander Valley),Zinfandel,Bella
784,Portugal,"This mature wine has a soft, smooth character and ripe fruit. With its red-berry flavors and gentle tannins, it's very ready to drink. The blend is dominated by Touriga Nacional from an estate at the heart of the Douro vineyards in Pinhão.",VT '08,90,32,Douro,,,Roger Voss,@vossroger,Quinta do Sagrado 2008 VT '08 Red (Douro),Portuguese Red,Quinta do Sagrado
785,Argentina,"This is a highly particular, funky blend of 85% Malbec and 15% Cabernet. It opens with savory stewy earthy aromas of berry fruits and prune. Due to the 15.5% abv, this feels heavy and clampy, with rooty flavors of baked berry fruits, cola, minty herbs and carob. An oaky spicy toasty finish with heat is the closing act on this fully stuffed Salta blend.",,90,25,Other,Salta,,Michael Schachner,@wineschach,San Pedro de Yacochuya 2012 Red (Salta),Red Blend,San Pedro de Yacochuya
786,Portugal,"A ripe and structured wine, this has bold black fruits and balanced tannins that still need to soften. It has good potential with rich fruits and a tight mineral texture. Drink from 2018.",Aneto Tinto,90,12,Douro,,,Roger Voss,@vossroger,Sobredos 2012 Aneto Tinto Red (Douro),Portuguese Red,Sobredos
787,US,"Robust black fruit forms around a dense, leathery core of concentration and richness before allowing room for softer, intertwined tannins to add structure and more depth. Chocolate marks the finish of this big, bold wine.",Rutherford Estate Vineyard,90,125,California,Rutherford,Napa,Virginie Boone,@vboone,St. Supéry 2013 Rutherford Estate Vineyard Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,St. Supéry
788,Argentina,"Oaky, smoky aromas are New World all the way. Heavily toasted and creamy on the palate, this hefty full-bodied Chardonnay tastes of wood resin, spiced apple and peach. Solid acidity keep this in line, while a lasting wave of toasty oak pushes the finish.",Bramare Marchiori Vineyard,90,46,Mendoza Province,Perdriel,,Michael Schachner,@wineschach,Viña Cobos 2015 Bramare Marchiori Vineyard Chardonnay (Perdriel),Chardonnay,Viña Cobos
789,Germany,"Fragrant notes of tangerine and yuzu peel abound on this citrusy dry Riesling. The palate is cutting and fresh, full of juicy white grapefruit and lime flavors. Light bodied yet satisfyingly thirst quenching, it finishes long with invigorating minerality.",Apollo Dry,90,29,Mosel,,,Anna Lee C. Iijima,,Von Schleinitz 2015 Apollo Dry Riesling (Mosel),Riesling,Von Schleinitz
790,US,"The variety is unmistakable, with notes of dried herb, dark cherry and espresso. The jammy fruit flavors are rich, with lightly grainy tannins and coffee notes on the finish. It shows a fine sense of balance.",Signature,90,17,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Barnard Griffin 2014 Signature Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Barnard Griffin
791,US,"Just one barrel was produced from the own-rooted vines planted almost 50 years ago. It's earthy and scented with a menthol/eucalyptus note, that carries on through. Cranberry flavor reflects the rather low alcohol, but there is no hint of unripeness or any vegetative character.",Chehalem Mountain Vineyard,90,85,Oregon,Chehalem Mountains,Willamette Valley,Paul Gregutt,@paulgwine ,Beacon Hill 2013 Chehalem Mountain Vineyard Pinot Noir (Chehalem Mountains),Pinot Noir,Beacon Hill
792,France,The 45% Cabernet Sauvignon in this wine gives it structure and aging potential. It is a ripe wine that is also stylish with attractive acidity and plenty of black-currant fruitiness. The wine is developing well and it should be ready to drink from 2018.,La Sérénité des Grands Chênes,90,30,Bordeaux,Médoc,,Roger Voss,@vossroger,Bernard Magrez 2012 La Sérénité des Grands Chênes  (Médoc),Bordeaux-style Red Blend,Bernard Magrez
793,US,"This wine is a blend of Sangiovese (66%), Cabernet Sauvignon (20%) and Syrah. The aromas are brooding, with notes of earth, toast, red fruit and spice. The palate brings tart tangy cranberry flavors that linger on the finish.",Tuttorosso,90,34,Washington,Yakima Valley,Columbia Valley,Sean P. Sullivan,@wawinereport,Brian Carter Cellars 2012 Tuttorosso Red (Yakima Valley),Red Blend,Brian Carter Cellars
794,US,"The nose of this wine combines this grape's best attributes: bright, crisp citrus redolent in grapefruit and Key lime, but with a tropical touch of guava and pineapple. The palate is broad and ripe but restrained enough, with plush mango and guava laid against a chalky backbone.",,90,22,California,Santa Ynez Valley,Central Coast,Matt Kettmann,@mattkettmann,Buttonwood 2015 Grenache Blanc (Santa Ynez Valley),Grenache Blanc,Buttonwood
795,France,"This is the second wine from one of the group of chateaus with Corbin in their names. It is a tight wine, firm with tannins and with a concentrated texture and flavors of over-extraction. That said, the wine will probably develop over time into something serious with a dark, dense aftertaste.",Divin de Corbin,90,35,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Château Corbin 2014 Divin de Corbin  (Saint-Émilion),Bordeaux-style Red Blend,Château Corbin
796,France,"This is a perfumed wine, with mint flavors as well as blackberry fruits. There is still a dominant structure of tannins and the wood aging that will allow the wine to age well. The fruits give the wine weight while the aftertaste has great swathes of acidity. Drink from 2019.",,90,45,Bordeaux,Haut-Médoc,,Roger Voss,@vossroger,Château Haut-Logat 2014  Haut-Médoc,Bordeaux-style Red Blend,Château Haut-Logat
797,France,"Produced from 30-year-old vines, this 55% Cabernet Sauvignon wine is firm with tannins as well as black-currant fruit. It is balanced with the potential to become a fruity wine with a soft texture. The acidity will keep it crisp and on point. Drink from 2018.",,90,20,Bordeaux,Médoc,,Roger Voss,@vossroger,Château La Branne 2014  Médoc,Bordeaux-style Red Blend,Château La Branne
798,France,"With ripe Merlot dominating this fine, blackberry flavored wine, it is fruity and rich. The acidity gives a crisper edge to the wine while the tannins come from a dry core. It is a wine in progress, full of potential and likely to be ready to drink from 2018.",,90,17,Bordeaux,Fronsac,,Roger Voss,@vossroger,Château Mayne Vieil 2014  Fronsac,Bordeaux-style Red Blend,Château Mayne Vieil
799,France,"This 23-acre-estate is situated in the south of the Margaux appellation, close to classed growth Château Giscours. While not classified, it still has the ability to produce a fine ripe wine that also has great structure. Acidity and firm tannins are very present along with concentrated blackberry fruits. Drink this fine wine from 2019.",,90,45,Bordeaux,Margaux,,Roger Voss,@vossroger,Château Mille-Roses 2012  Margaux,Bordeaux-style Red Blend,Château Mille-Roses
800,US,"With black cherry, blueberry, milk chocolate and balsamic reduction offsetting the light dill herbaceousness, this wine offers surprising depth for the affordable price. The texture is soft, yet the tannins stand up to the black cherry, charcoal and black-pepper flavors.",,90,20,California,Santa Ynez Valley,Central Coast,Matt Kettmann,@mattkettmann,Chessman 2014 Cabernet Sauvignon (Santa Ynez Valley),Cabernet Sauvignon,Chessman
801,US,"Made entirely from Syrah grown on its property across multiple vintages, and then cave-aged six years in American oak, this is a nice dessert wine, raisiny and brimming in Christmas spice. With plenty of body and acidity, it swims effortlessly and smoothly on the palate, a bite of decadence that will work well with rich cheeses.",Tawny Estate,90,50,California,Sonoma Valley,Sonoma,Virginie Boone,@vboone,Deerfield Ranch NV Tawny Estate Syrah (Sonoma Valley),Syrah,Deerfield Ranch
802,France,"This is a firm wine, balancing some solid tannins with ripe red fruits. Still young, it is packed with fruitiness and with acidity that are centered around a firm core. Drink this stylish wine from 2018.",Le Griottier,90,22,Beaujolais,Juliénas,,Roger Voss,@vossroger,Domaine Franck Besson 2014 Le Griottier  (Juliénas),Gamay,Domaine Franck Besson
803,US,"Aromas of savory herbs, mineral, exotic spice and red fruit are followed by fruit flavors that are surprisingly restrained considering the warmth of the vintage. Tart acidity livens it up. It's green for the variety but still brings enjoyment.",Upright Klipsun Vineyard,90,39,Washington,Red Mountain,Columbia Valley,Sean P. Sullivan,@wawinereport,Efeste 2013 Upright Klipsun Vineyard Merlot (Red Mountain),Merlot,Efeste
804,US,"The aromas of mineral, spice, toast, yellow apple and lemon pith are light but enchanting. The palate is medium bodied and refined, demonstrating judicious use of oak and a lengthy finish that shows some warmth.",Lola Evergreen Vineyard,90,35,Washington,Ancient Lakes,Columbia Valley,Sean P. Sullivan,@wawinereport,Efeste 2014 Lola Evergreen Vineyard Chardonnay (Ancient Lakes),Chardonnay,Efeste
805,US,"Bone dry and replete with skin flavors of pear and grapefruit pith, this is perfect for those who want to keep their alcohol consumption down without turning to a sweeter style of wine. Try it with grilled sausages and sauerkraut.",,90,15,Oregon,Oregon,Oregon Other,Paul Gregutt,@paulgwine ,Firesteed 2012 Riesling (Oregon),Riesling,Firesteed
806,US,"Very smooth, almost thick, this is a rich wine in flavor and mouthfeel. It practically oozes over the palate, dripping with ripe pineapple, vanilla and cream, and coats every corner of the mouth before lingering through a long finish. It's full bodied, soft and concentrated.",Small Lot,90,27,California,Sierra Foothills,Sierra Foothills,Jim Gordon,@gordone_cellars,Iron Hub 2014 Small Lot Chardonnay (Sierra Foothills),Chardonnay,Iron Hub
807,Australia,"Without any new oak or lees stirring, this wine's sole focus is on the fruit. Pineapple, melon and peach notes are pure and striking, supported by just hints of vanilla and cream. This medium-bodied Chardonnay finishes in a flurry of tangerine and lime.",Farrago,90,66,Victoria,Mornington Peninsula,,Joe Czerwinski,@JoeCz,Kooyong 2013 Farrago Chardonnay (Mornington Peninsula),Chardonnay,Kooyong
808,Italy,"Aromas of ripe orchard fruit and chopped herb jump out of the glass. The savory palate serves up juicy Bartlett pear, green apple, citrus and a mint note while a hint of white almond adds depth. Very appealing.",Le Vele,90,32,Central Italy,Verdicchio dei Castelli di Jesi Classico,,Kerin O’Keefe,@kerinokeefe,Moncaro 2015 Le Vele  (Verdicchio dei Castelli di Jesi Classico),Verdicchio,Moncaro
809,Spain,"Mild raisin, black cherry, anise and burnt tire aromas lead to a plump, balanced palate that's full but not overloaded. Earthy baked black-fruit flavors show a hint of oaky coconut, while this Tempranillo finishes with depth and density.",Parcela 23,90,20,Central Spain,Vino de la Tierra de Castilla,,Michael Schachner,@wineschach,Finca Constancia 2011 Parcela 23 Tempranillo (Vino de la Tierra de Castilla),Tempranillo,Finca Constancia
810,US,"This wine opens with a confectionary nose, slowly unleashing its thick, concentrated richness of dark cherry and cassis on the palate. Between the layers are grippy tannins and shakes of meaty leather and black pepper. This could stand some time in a decanter or swirling in the glass before enjoying.",,90,125,California,Rutherford,Napa,Virginie Boone,@vboone,Aiken 2013 Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Aiken
811,Germany,"White blossom perfume accents notes of fresh lemon, lime and green melon in this aromatic Silvaner. While dry in style, it's refreshingly juicy on the palate, bursting with pristine citrus flavor tinged by edges of lime and lemon pith. Mouth filling and rich in texture, it clings lusciously through a long finish.",Castell,90,16,Franken,,,Anna Lee C. Iijima,,Castell 2015 Castell Silvaner (Franken),Silvaner,Castell
812,US,"This is a particularly expressive wine with lots of personality. It opens with aromas of cherry, tea and wood smoke, and tastes very dry and structured with vivid fruit acidity and tannins. Sour cherry and raspberry provide the fruit flavors.",Perli Vineyards,90,42,California,Mendocino Ridge,,Jim Gordon,@gordone_cellars,Donkey & Goat 2013 Perli Vineyards Syrah (Mendocino Ridge),Syrah,Donkey & Goat
813,Australia,"Built for early consumption, this blend of 59% Grenache, 22% Shiraz and 19% Mataro is lush and warm, offering chocolaty notes alongside hints of brown sugar, grilled meat and blueberries. Drink now–2022.",Cuvee Juveniles,90,22,South Australia,Barossa Valley,,Joe Czerwinski,@JoeCz,Torbreck 2013 Cuvee Juveniles Red (Barossa Valley),Red Blend,Torbreck
814,Italy,"Aromas of toasted oak, crushed blue flower, underbrush, espresso, licorice and toasted notes take center stage. There's not much fruit richness here so drink now before it fades.",,86,,Tuscany,Rosso di Montalcino,,Kerin O’Keefe,@kerinokeefe,Valdicava 2012  Rosso di Montalcino,Sangiovese,Valdicava
815,US,"All from Rosebud Vineyard, this moderately aromatic wine brings notes of herbs and pineapple, with Sémillon (15%) adding fig to the mix. The concentration doesn't seem all there and it needs a bit more acid to stand it up.",Soleil,86,18,Washington,Wahluke Slope,Columbia Valley,Sean P. Sullivan,@wawinereport,Finn Hill 2013 Soleil Sauvignon Blanc (Wahluke Slope),Sauvignon Blanc,Finn Hill
816,US,"While demure on the nose, this light-footed Gewürztraminer is pretty on the palate with delicate lychee and floral notes. Its unusually nervous and shy for it's variety, but refreshingly quaffable.",Pre-Emption Vineyard,86,22,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Keuka Spring 2013 Pre-Emption Vineyard Gewürztraminer (Finger Lakes),Gewürztraminer,Keuka Spring
817,Chile,"Earthy, lightly stewed aromas of plum and berry set up a lively but pinched and narrow palate with candied flavors of mixed red berry fruits. Additional red-fruit friendliness rolls onto the finish of this pleasant but basic Merlot.",Block Selection Reserve Block N. 10,86,12,Colchagua Valley,,,Michael Schachner,@wineschach,La Playa 2012 Block Selection Reserve Block N. 10 Merlot (Colchagua Valley),Merlot,La Playa
818,France,"The wine is warm and round, full of ripe berry fruits and soft tannins. It's ready to drink now with its full structure, balanced acidity and juicy aftertaste.",Belle Grâce,86,15,Beaujolais,Beaujolais-Villages,,Roger Voss,@vossroger,Les Vins Aujoux 2013 Belle Grâce  (Beaujolais-Villages),Gamay,Les Vins Aujoux
819,France,"Soft, ripe and fruity, this is an immediately accessible, drinkable wine. It's soft with lemon and yellow fruits coming together to give a fresh, lively apéritif style of wine.",,86,9,Southwest France,Côtes de Gascogne,,Roger Voss,@vossroger,Mont Gravet 2013 Colombard (Côtes de Gascogne),Colombard,Mont Gravet
820,Spain,"Cherry and cassis aromas are a touch flat and jammy. This shows grabby tannins as well as loamy, earthy, lightly bitter flavors of black fruits. The finish lumbers along with size and tannic grip, but overall this blend of 65% Tempranillo, 25% Graciano and 10% Garnacha shows well.",Made With Organic Grapes,86,12,Northern Spain,Rioja,,Michael Schachner,@wineschach,Navardia 2013 Made With Organic Grapes  (Rioja),Tempranillo Blend,Navardia
821,Spain,"Bready aromas feature melon as the main fruit scent. This is chunky in feel, with moderate acidity and cut. Apple, melon and green-herb flavors finish with hints of toast, yeast and generic sweetness.",Brut,86,15,Catalonia,Cava,,Michael Schachner,@wineschach,Pata Negra NV Brut Sparkling (Cava),Sparkling Blend,Pata Negra
822,Italy,"This displays evident oak sensations of sweet vanilla, toast, espresso, milk chocolate and mature black plum alongside drying tannins. There's not much fresh acidity so drink soon before it dries out.",,86,20,Tuscany,Rosso di Montalcino,,Kerin O’Keefe,@kerinokeefe,Ridolfi 2012  Rosso di Montalcino,Sangiovese,Ridolfi
823,US,"Grape soda, prune, leather, graphite, dust and black tobacco blend into an intriguing nose on this estate Malbec from Paso's Eastside. It's a little rustic around the edges once sipped, but pleasantly so. The mouthfeel is soft, the flavors are peppery and the tannins and acidity are built to last.",,86,28,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Still Waters 2010 Malbec (Paso Robles),Malbec,Still Waters
824,US,"Nothing is out of place in this solid, attractive and well-priced Merlot. It is a straightforward red wine that feels well-balanced, is medium to full-bodied, and has tasty, mellow plum and cherry flavors. Firm tannins mark the clean finish.",,86,10,California,California,California Other,Jim Gordon,@gordone_cellars,Stomping Ground 2010 Merlot (California),Merlot,Stomping Ground
825,Italy,"Roasted coffee bean, underbrush, toast and allspice lead the nose on this big wine. The one-dimensional palate offers dense cherry extract, licorice and the warmth of alcohol. It's already evolved so drink now.",,86,70,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Tenuta Poggio il Castellare 2009  Brunello di Montalcino,Sangiovese,Tenuta Poggio il Castellare
826,Italy,"This wine brings together sensations of tilled earth, espresso, oak extract, coffee, overripe black plum and vanilla. The palate displays tightly packed tannins but it's low on fresh acidity so drink it soon.",Ciampoleto,86,28,Tuscany,Rosso di Montalcino,,Kerin O’Keefe,@kerinokeefe,Tenuta San Giorgio 2012 Ciampoleto  (Rosso di Montalcino),Sangiovese,Tenuta San Giorgio
827,Chile,"Leathery, briny plum aromas are full and herbal. This feels solid and medium in size and body. Flavors of earthy, roasted berry and plum finish lightly green and herbal, with a touch of sweetness.",,86,11,Curicó Valley,,,Michael Schachner,@wineschach,Terrapura 2012 Merlot (Curicó Valley),Merlot,Terrapura
828,France,"Chenin Blanc has found an unlikely new home in Cahors, to judge by the producers who are trying it out. It works well, giving a deliciously nutty character as well as intense citrus and minerality. Age this wine until 2015.",K-libre,86,30,Southwest France,Côtes du Lot,,Roger Voss,@vossroger,Clos Troteligotte 2013 K-libre Chenin Blanc (Côtes du Lot),Chenin Blanc,Clos Troteligotte
829,US,"A clean, fresh wine, this opens with crisply varietal aromatics of citrus and orange blossom. The flavors follow suit, adding some fresh-cut pineapple as well; then the wine hits a wall and simply pulls up short.",,86,26,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Columbia Winery 2013 Viognier (Columbia Valley (WA)),Viognier,Columbia Winery
830,France,"Crisp while also fruity, it has bright acidity, lively citrus and apple flavors and a refreshing aftertaste. Drink now.",,86,15,Beaujolais,Beaujolais-Villages,,Roger Voss,@vossroger,Domaine de Thulon 2013  Beaujolais-Villages,Chardonnay,Domaine de Thulon
831,France,Some wood aging gives the fruitiness of the wine an added spice. Tannins support the bitter cherry flavors and add firmness to the juicy acidity. Drink from the end of 2015.,Roche Grès,86,23,Beaujolais,Moulin-à-Vent,,Roger Voss,@vossroger,Domaine du Haut-Poncié 2013 Roche Grès  (Moulin-à-Vent),Gamay,Domaine du Haut-Poncié
832,France,"The wine is very fresh, with intense acidity and fragrant red fruits. Made from 100-year-old vines, it's tight, mineral and has a cool, light character with the merest hint of tannin. Drink now.",Coeur de Vendanges,86,,Beaujolais,Beaujolais,,Roger Voss,@vossroger,Domaine du Vissoux 2013 Coeur de Vendanges  (Beaujolais),Gamay,Domaine du Vissoux
833,Italy,"Aromas of a closed cellar blow off in the glass to reveal underbrush, violet, woodland berries and a hint of white pepper that all carry over to the palate. It's one-dimensional with fresh acidity and would work well with deep-dish pizza covered with toppings.",,86,30,Piedmont,Nebbiolo d'Alba,,Kerin O’Keefe,@kerinokeefe,Dosio 2012  Nebbiolo d'Alba,Nebbiolo,Dosio
834,Chile,"Briary, spicy, mildly herbal berry aromas give way to a full, bold, wiry feeling palate with pointed acidity. Herbal, lightly green flavors of tobacco and plum finish crisp.",Reserva Estate Bottled,86,10,Loncomilla Valley,,,Michael Schachner,@wineschach,G7 2012 Reserva Estate Bottled Cabernet Sauvignon (Loncomilla Valley),Cabernet Sauvignon,G7
835,France,"Attractive cherry flavors give a ripe, rounded feel that's balanced by the acidity and tannins. Black cherries burst easily from the glass, delivering a full aftertaste.",Flower Label,86,12,Beaujolais,Beaujolais,,Roger Voss,@vossroger,Georges Duboeuf 2013 Flower Label  (Beaujolais),Gamay,Georges Duboeuf
836,Spain,"Apple and melon aromas are standard and light. A juicy, citrusy feeling palate delivers stone-fruit flavors of peach and nectarine. A mild finish is fresh in flavor and feel.",Cinta Púrpura Brut Reserva,86,13,Catalonia,Cava,,Michael Schachner,@wineschach,Juvé y Camps NV Cinta Púrpura Brut Reserva Sparkling (Cava),Sparkling Blend,Juvé y Camps
837,Spain,"Generic white-fruit and matchstick aromas are quiet in nature. This is creamy and not assaulting or sugary on the palate. Mango, melon, lychee and citrus flavors finish with lime notes.",Sweet Reserva,86,15,Catalonia,Cava,,Michael Schachner,@wineschach,Juvé y Camps NV Sweet Reserva Sparkling (Cava),Sparkling Blend,Juvé y Camps
838,US,"Despite the abv listed, this wine does not seem especially ripe. Peppery highlights carry a whiff of onion, and between the alcohol burn and the green edges, the wine has not come together. Aging in 40% new oak adds some toast, but not grip or density.",Les Collines Vineyard,86,36,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Kontos 2011 Les Collines Vineyard Syrah (Walla Walla Valley (WA)),Syrah,Kontos
839,US,"Blossoms and yellow cherries lend a sweet floral flair on the nose of this dry Riesling. It's straightforward in style, but quaffable and refreshing, with flavors of fresh apple and pear that finish crisp and clean.",Yellow Dog Vineyard,86,20,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Lamoreaux Landing 2013 Yellow Dog Vineyard Riesling (Finger Lakes),Riesling,Lamoreaux Landing
840,France,"This is a rich style of rosé, rounded and fruity with good texture, wild strawberry flavors and very crisp acidity at the end. It's an attractive wine and one that's worth keeping until 2015.",,86,,Beaujolais,Beaujolais Rosé,,Roger Voss,@vossroger,Laurent Gauthier 2013 Rosé (Beaujolais Rosé),Rosé,Laurent Gauthier
841,US,"This does a good job of balancing lively pear and apple flavors with dashes of toast and butter. It's medium to full-bodied, dry and has enough crispness to help the flavors linger.",,86,10,California,California,California Other,Jim Gordon,@gordone_cellars,Leaping Horse 2013 Chardonnay (California),Chardonnay,Leaping Horse
842,France,"While the wine has a crisp side, it's also full of red fruits and soft tannins. That makes for a wine that's fragrant, fruity, ready to drink and not likely to age much. Enjoy it now.",,86,16,Beaujolais,Beaujolais-Villages,,Roger Voss,@vossroger,Manoir du Carra 2013  Beaujolais-Villages,Gamay,Manoir du Carra
843,US,"Aged for 20 months in 40% new French oak, this remains a tough nut to crack. It's encased in a hard tannic shell, with little ripe fruit, and is strongly flavored with barrel notes of tobacco and vanilla. Decant it or put it through an aerator.",Proprietor's Reserve,86,25,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Maryhill 2011 Proprietor's Reserve Cabernet Franc (Columbia Valley (WA)),Cabernet Franc,Maryhill
844,Italy,"Aromas of citrus, white stone fruit and a vegetal hint suggesting tomato leaf lead the way. The racy palate offers grapefruit, pineapple, fresh white peach and flinty mineral while a pleasantly bitter note closes the finish.",Bianco,90,24,Sicily & Sardinia,Etna,,Kerin O’Keefe,@kerinokeefe,Cottanera 2015 Bianco  (Etna),Carricante,Cottanera
845,Italy,"Fragrant and fresh, this Grillo opens with alluring scents of acacia flower, beeswax and white stone fruit. The succulent palate offers creamy white peach, juicy nectarine, almond and mineral framed in tangy acidity. A note of chopped herb closes the lingering finish.",Aquilae Bio,90,,Sicily & Sardinia,Terre Siciliane,,Kerin O’Keefe,@kerinokeefe,CVA Canicattì 2015 Aquilae Bio Grillo (Terre Siciliane),Grillo,CVA Canicattì
846,France,"A soft, stony scent of pebble and the faintest melon signals a fresh, clean wine. The palate plays these aromas out softly but also with precision. That stoniness lingers on the dry, gentle finish and the lasting flavor of fresh apple peel",Rosenberg,90,24,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Domaine Barmès-Buecher 2014 Rosenberg Sylvaner (Alsace),Sylvaner,Domaine Barmès-Buecher
847,France,"The Pinot-ness of this wine is undeniable: its structure is of velvet, and its aromas convey freshly turned earth, autumnal oak leaf and subdued red-cherry fruit. There is a depth that evokes deep forests. Have this with furred or feathered game.",Galets Oligocène,90,33,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Domaine Bott-Geyl 2012 Galets Oligocène Pinot Noir (Alsace),Pinot Noir,Domaine Bott-Geyl
848,France,"With tannins and new-wood flavors, this rich wine is also structured. A smoky character from the wood is shot through by perfumed red fruits. The aftertaste shows more of the wood flavors that need to integrate. Drink from 2018.",Clos de Jeu,90,,Burgundy,Marsannay,,Roger Voss,@vossroger,Domaine Collotte 2014 Clos de Jeu  (Marsannay),Pinot Noir,Domaine Collotte
849,France,"This is a blend from most parts of the village, with fruit from 14 different parcels. It is solid and firm while also having great swathes of raspberries and red plums laced together with acidity. The aftertaste is perfumed with a fresh lift. Drink from 2018",,90,70,Burgundy,Gevrey-Chambertin,,Roger Voss,@vossroger,Domaine Faiveley 2014  Gevrey-Chambertin,Pinot Noir,Domaine Faiveley
850,France,"Young vines, planted in 2007, give a fresh, fruity wine with attractive citrus and zingy orange flavors. It is ripe and deliciously perfumed with a touch of minerality and saltiness. Drink from 2019.",Grèves Premier Cru,90,117,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine Jacques Prieur 2014 Grèves Premier Cru  (Beaune),Chardonnay,Domaine Jacques Prieur
